Box Cutter Rat	other place	spray_paint
Happy Choppers	other place	canvas
Graffiti is a Crime	New York	spray_paint
Golf Sale	other place	canvas
Go FLock Yourself	other place	spray_paint
Girl With Balloon	other place	canvas
Girl with Balloon	other place	spray_paint
Get Out While You Can	other place	canvas
Bomb Middle England	other place	canvas
Gangsta Rat	London	spray_paint
Hammer Boy	New York	spray_paint
Gangsta Rat	other place	canvas
Follow your Dreams - Canceled	other place	spray_paint
Barcode	other place	canvas
Choose Your Weapon	other place	canvas
Flying Copper	other place	canvas
Flags	other place	canvas
Christ with Shopping Bags	other place	canvas
Festival	other place	canvas
Child Soldier	other place	spray_paint
Dumbo	other place	canvas
Donuts	other place	canvas
Graffiti Is A Crime	other place	spray_paint
Di Faced Tenners	other place	canvas
Applause	other place	canvas
Keep your Coins, I want Change	other place	spray_paint
Cash Machine Girl	London	spray_paint
CND Soldiers	other place	canvas
Grim Reaper	other place	canvas
Civilian Drone STrike	other place	canvas
Bronx Zoo	other place	spray_paint
Grannies	other place	canvas
Bomb Hugger	other place	canvas
Bomb Hugger	London	spray_paint
Blinded Napoleon	other place	spray_paint
Choose Your Weapon	other place	spray_paint
HMV	other place	canvas
I Fought The Law	other place	canvas
I want change	other place	spray_paint
Injured Buddha	other place	spray_paint
Interest in People	other place	spray_paint
Jack & Jill	other place	canvas
Javelin Thrower	other place	spray_paint
Kate Moss	other place	canvas
Laugh Now	other place	canvas
Looting Soldier	other place	spray_paint
Love Hurts	other place	canvas
Love Is In The Air	other place	canvas
Love Is In The Air (CCCP)	other place	canvas
Love Rat	other place	canvas
Well, Hung Lover	other place	spray_paint
The Mild Mild West	other place	spray_paint
Monkey Queen	other place	canvas
Napalm	other place	canvas
NOLA	other place	canvas
Israeli-Palestinian Pillow Fight	other place	canvas
Pulp Fiction	other place	canvas
Queen Victoria	other place	canvas
Seal Mural	other place	spray_paint
Season's Greetings	other place	spray_paint
Security Guard with Pink Balloon	other place	spray_paint
Gorilla Artist	London	spray_paint
Bubble Slide Girl	London	spray_paint
Snorting Copper	London	spray_paint
Stop and Search	other place	spray_paint
Sweep it Under the Carpet	London	spray_paint
Swing Girl	other place	spray_paint
Take this Society	London	spray_paint
Tap Phoned	other place	spray_paint
Thug for Life Bunny	other place	spray_paint
Trolleys	other place	canvas
Turf War	other place	canvas
Because I'm Worthless	other place	canvas