Box Cutter Rat	Spray Paint	
Happy Choppers	Canvas	
Graffiti is a Crime	Spray Paint	
Golf Sale	Canvas	
Go FLock Yourself	Spray Paint	
Girl With Balloon	Canvas	
Girl with Balloon	Spray Paint	
Get Out While You Can	Canvas	
Bomb Middle England	Canvas	
Gangsta Rat	Spray Paint	 In front of Morefields Eye Hospital in on City Road in London.. 
Hammer Boy	Spray Paint	
Gangsta Rat	Canvas	
Follow your Dreams - Canceled	Spray Paint	
Barcode	Canvas	
Choose Your Weapon	Canvas	
Flying Copper	Canvas	
Flags	Canvas	
Christ with Shopping Bags	Canvas	
Festival	Canvas	
Child Soldier	Spray Paint	
Dumbo	Canvas	
Donuts	Canvas	
Graffiti Is A Crime	Spray Paint	
Di Faced Tenners	Canvas	
Applause	Canvas	
Keep your Coins, I want Change	Spray Paint	
Cash Machine Girl	Spray Paint	 In front of Exmouth Market, on a wall in North London. 
CND Soldiers	Canvas	
Grim Reaper	Canvas	
Civilian Drone STrike	Canvas	
Bronx Zoo	Spray Paint	
Grannies	Canvas	
Bomb Hugger	Canvas	
Bomb Hugger	Spray Paint	 On a mural, In East London 
Blinded Napoleon	Spray Paint	
Choose Your Weapon	Spray Paint	
HMV	Canvas	
I Fought The Law	Canvas	
I want change	Spray Paint	
Injured Buddha	Spray Paint	
Interest in People	Spray Paint	
Jack & Jill	Canvas	
Javelin Thrower	Spray Paint	
Kate Moss	Canvas	
Laugh Now	Canvas	
Looting Soldier	Spray Paint	
Love Hurts	Canvas	
Love Is In The Air	Canvas	
Love Is In The Air (CCCP)	Canvas	
Love Rat	Canvas	
Well, Hung Lover	Spray Paint	
The Mild Mild West	Spray Paint	
Monkey Queen	Canvas	
Napalm	Canvas	
NOLA	Canvas	
Israeli-Palestinian Pillow Fight	Canvas	
Pulp Fiction	Canvas	
Queen Victoria	Canvas	
Seal Mural	Spray Paint	
Season's Greetings	Spray Paint	
Security Guard with Pink Balloon	Spray Paint	
Gorilla Artist	Spray Paint	On Leake Street at the Cans Festival in London.
Bubble Slide Girl	Spray Paint	On the wall of a Youth Club in Hackney, East London.
Snorting Copper	Spray Paint	On Curtain Road at the Waterloo Station in London.
Stop and Search	Spray Paint	
Sweep it Under the Carpet	Spray Paint	On Chalk Fun Road in North London.
Swing Girl	Spray Paint	
Take this Society	Spray Paint	At Holland Park Roundabout in the Shepherdâ€™s Bush area of London.
Tap Phoned	Spray Paint	
Thug for Life Bunny	Spray Paint	
Trolleys	Canvas	
Turf War	Canvas	
Because I'm Worthless	Canvas	